Name,Price,Description,Type
Dark or White Chocolate,$12 ,"Vanilla Vodka, Godiva Liqueur,  Creme de Cocoa",Vodka Martinis
Banana Pudding,$11 ,Tastes Just Like it!,Vodka Martinis
The Superman,$11 ,"Vodka, Gin--Red, Blue and Bulletproof!",Vodka Martinis
Kinky Colada,$10 ,"Pineapple Vodka, Kinky, Pina Colada Mix, lemonade & Sprite ",Vodka Martinis
Call Me A Cab,$10 ,"Peach Vodka, Mango & Peach Puree, lemonade & Sprite ",Vodka Martinis
The VJJ,$10 ,"Red Berry Vodka, Malibu, Peach Schnapps, cranberry & pineapple juice ",Vodka Martinis
French Kiss,$10 ,"Vokda, Chambord Raspberry Liqueur & champagne     ",Vodka Martinis
White Girl Wasted,$10 ,"Whipped Cream Vodka, Vanilla Schnapps, Baileys & whipped cream",Vodka Martinis
The Lucky Charm,$10 ,Layers of Mango and Melon! It's Magically Delicious ,Vodka Martinis
The Big Apple,$10 ,"Ciroc Apple Vodka, Sweet & Sour, Lemonade. Tastes like a Granny Smith!",Vodka Martinis
Blue Dragon,$10 ,"Vodka, Rum, Peachtree, Blue Curacao, lemonade and pineapple.",Vodka Martinis
Citrus Madness,$9 ,"Peach Vodka, pineapple & orange juice & with Sprite",Vodka Martinis
Sex Potion,$9 ,"Peach Vodka, Cointreau, Pomegranate Juice, Lemon Juice  ",Vodka Martinis
Purple Rain,$9 ,"Coconut Vodka & Red Berry Vodka , Island Pucker & Cranberry ",Vodka Martinis
Naked on the Beach,$9 ,"Vodka, Peach Schnapps, Crème de Banana, Cranberry and Pineapple ",Vodka Martinis
Purple Haze,$9 ,"Cherry Vodka, Island Punch & Watermelon Pucker  ",Vodka Martinis
Purple Panties,$9 ,"Cherry Vodka, Chambord & pomegranate juice  ",Vodka Martinis
Carmel Apple Martini,$9 ,"Smirnoff Kiss Caramel, Apple Pucker with a caramel drizzle",Vodka Martinis
Lava Lust,$9 ,"Pear Vodka, Island Punch Pucker, Strawberry Puree",Vodka Martinis
Drunken Watermelon,$9 ,"Vodka, Watermelon Pucker, Patron Citronage and Lemonade",Vodka Martinis
Pink Panties,$8 ,"Vodka, grenadine, lemonade & Sprite ",Vodka Martinis
Sexy Mamacita,$8 ,"Coconut Vodka, Lemonade and Mango puree ",Vodka Martinis
Undercover Freak,$8 ,"Vanilla Vodka, Disaronno, Pineapple juice and sprite",Vodka Martinis
Peach Blossom,$8 ,"Raspberry Vodka, Peach Puree & Lemonade",Vodka Martinis
Sit Your Ass Down,$8 ,"Vodka, Apple Pucker, Raspberry Puree and Sour Mix",Vodka Martinis
Sex in a Limo,$8 ,"Vodka, Kinky, Strawberry Puree & lemonade",Vodka Martinis
The Peep Show,$8 ,"Vodka, White Zin, Peach schnapps & pineapple ",Vodka Martinis
The Set Up,$7 ,"Vodka, cranberry & pineapple ",Vodka Martinis
Tickle Me Tang,$8 ,"Tanqueray, Lemonade, cranberry Juice",Gin Martinis
Cherry Popper,$7 ,"New Amsterdam Gin, Pomegranate juice, sweet and sour, grenadine",Gin Martinis
